residuefc1,residuefc2,zyg
1.6037489,1.245802,1.0
-0.4416788,-0.9883008,1.0
0.9343082,1.1363282,1.0
-0.37765104,-1.8004785,1.0
-0.9040607,0.949333,1.0
-0.61402875,-2.135022,1.0
0.6639576,0.7239538,1.0
2.8878508,0.26425454,1.0
-0.4627355,-0.26037452,1.0
1.2713256,1.8668697,1.0
-1.7233058,0.24388136,1.0
0.76165575,1.2730405,1.0
-0.44405952,0.56271255,1.0
-0.0977573,0.8100636,1.0
0.92236793,0.28170434,1.0
0.09302047,0.15515761,1.0
0.17478749,0.7066209,1.0
-0.3221727,-1.0036192,1.0
-0.18589172,0.86423314,1.0
-0.12317852,0.8891842,1.0
0.3723974,-0.73119974,1.0
1.537522,0.21648356,1.0
-1.7970569,-0.35661405,1.0
2.1025586,2.3127632,1.0
-0.6275499,-0.123136126,1.0
-1.1382071,-1.1987045,1.0
1.9009584,-0.08891149,1.0
0.21032776,0.7185193,1.0
-1.389164,-0.6666499,1.0
-0.72330815,0.21499106,1.0
0.24591741,0.7767264,1.0
-2.491581,-0.2169053,1.0
-0.112207085,-1.7861961,1.0
-0.5169868,0.47023144,1.0
0.40669268,0.7810129,1.0
-0.018951077,0.17011197,1.0
-0.09132707,0.6824058,1.0
0.6954898,-0.71991307,1.0
-1.4436373,-1.3799096,1.0
-0.53985655,-0.46621218,1.0
1.5482652,0.750446,1.0
0.30060175,-0.49377877,1.0
0.56027764,1.6252431,1.0
-0.19605887,-1.1591512,1.0
1.3584361,0.8297679,1.0
0.16558668,0.89703625,1.0
0.34630623,0.43994722,1.0
0.3087366,1.1632627,1.0
0.52333087,0.38578808,1.0
0.33698863,0.45140317,1.0
-0.3596885,1.1617527,1.0
0.08368147,0.43411934,1.0
-0.40405732,-0.49506533,1.0
0.88009393,1.8352627,1.0
0.23329176,-0.035730325,1.0
0.7528152,1.0701221,1.0
0.0052069114,0.17907657,1.0
0.52398974,0.14029877,1.0
-0.053274106,0.95363736,1.0
-0.054096732,-0.31464797,1.0
-1.2446691,-1.1076053,1.0
-1.0652223,-0.34502682,1.0
-0.13029474,-0.3385034,1.0
0.6925813,1.6255953,1.0
-0.9270815,-1.319351,1.0
-0.41549945,-0.21383515,1.0
-1.1683661,-1.6606864,1.0
0.8207298,0.29277503,1.0
-1.0796856,0.09642,1.0
-0.38940406,0.06908242,1.0
-1.2202326,-1.0901033,1.0
-0.4112442,-0.87341905,1.0
1.4151614,1.5945626,1.0
0.50578934,-0.2970735,1.0
0.5400736,0.18444274,1.0
0.0353126,0.5033095,1.0
1.1512954,0.96618235,1.0
-0.86292416,-0.6714458,1.0
0.30779725,1.2075421,1.0
-0.43883133,1.471474,1.0
-0.5103058,1.0956646,1.0
-2.810953,0.5758545,1.0
1.4381783,1.6151186,1.0
-0.70032734,0.62125,1.0
0.31321168,0.33948067,1.0
1.014402,0.8781577,1.0
-0.64539737,0.22513193,1.0
0.19666745,1.0598801,1.0
-0.52351016,-0.78234625,1.0
0.48926878,0.25155517,1.0
-0.53044695,-0.5007864,1.0
-0.35077718,-1.7232046,1.0
0.2831351,0.4135416,1.0
0.6443594,1.9217076,1.0
0.52362674,0.25907764,1.0
1.8558639,1.4041123,1.0
-0.85178906,-1.497337,1.0
-0.24968286,-0.683148,1.0
-0.2661506,-0.24547136,1.0
1.030766,-0.16153757,1.0
-0.4745012,-1.9464796,1.0
0.6738839,1.0463868,1.0
-2.1910663,0.42921096,1.0
-0.108897984,-0.12469151,1.0
-0.70959014,-0.97491384,1.0
-0.011471784,-1.0739367,1.0
-1.0174347,-1.1599224,1.0
-1.3629738,-0.07335604,1.0
-0.12998174,-0.0062907157,1.0
-0.26336634,0.30852783,1.0
-0.18099989,-0.37614185,1.0
-0.41878977,-0.6618459,1.0
-1.2025157,-0.33482176,1.0
1.0269935,-1.4021889,1.0
-1.1235212,-2.0066397,1.0
0.67025393,0.11939021,1.0
-2.3435862,1.8509367,1.0
-1.3082334,-1.0012977,1.0
-0.8216215,-3.4956286,1.0
0.6881681,0.30659792,1.0
1.3947837,-0.7549627,1.0
1.1997925,0.11723988,1.0
-0.803476,-0.34966108,1.0
0.17310178,0.66085136,1.0
0.009165377,-0.44677213,1.0
-1.5680864,-1.3305751,1.0
0.29547694,-0.68933743,1.0
-0.39853114,-0.44844112,1.0
0.20167825,-0.05176813,1.0
1.6243124,1.1718847,3.0
-1.5604326,-0.5290268,3.0
-0.4312546,-0.5293993,3.0
-0.048710812,1.0630718,3.0
0.94096714,-1.7452074,3.0
1.3171835,0.65346295,3.0
-0.69762594,-1.0656624,3.0
0.83248264,1.0871385,3.0
-0.9036435,-1.236106,3.0
0.87252164,1.2981846,3.0
-1.0564982,-1.0706594,3.0
0.5721826,-0.12908123,3.0
-0.18322742,-0.050221678,3.0
0.81643766,0.090249576,3.0
0.40870818,0.35099563,3.0
-0.5209697,-1.1024804,3.0
0.9414733,0.22173122,3.0
0.2553711,-1.3663064,3.0
0.3552776,0.55351895,3.0
-1.6371156,-0.08954686,3.0
0.68454343,-0.8773024,3.0
-1.7644261,-0.7601449,3.0
1.3804497,-1.0834216,3.0
-0.46750852,0.45215696,3.0
-0.96432185,-0.58341616,3.0
1.3518149,1.1987171,3.0
1.471097,0.6789106,3.0
0.57927066,-0.25546584,3.0
0.6011523,0.33630517,3.0
-0.4972065,-0.17532617,3.0
-0.47145158,1.6571001,3.0
0.33877483,-0.6005481,3.0
1.4580652,-0.65751666,3.0
1.4294671,1.539848,3.0
0.41022384,-1.0228956,3.0
-0.06257097,0.7957563,3.0
-0.17783028,0.094058305,3.0
-0.88437,0.55361974,3.0
-0.89443386,1.5599475,3.0
1.2956566,0.2799822,3.0
1.4168242,1.9699483,3.0
-0.2529909,0.48861092,3.0
0.1625041,-0.9769885,3.0
0.6234423,1.1248755,3.0
-1.7541784,-0.2030654,3.0
-0.012255957,0.3288284,3.0
-0.48934287,-0.53633726,3.0
-1.1209557,-1.9583019,3.0
-1.5815076,0.13514899,3.0
1.6822057,-1.5648944,3.0
-0.065525845,-0.7197809,3.0
-2.7634008,-1.2187127,3.0
1.8409089,-0.37168735,3.0
0.91918963,-1.3354499,3.0
0.5532109,2.0112267,3.0
-0.092482455,0.6170172,3.0
0.16992582,-1.4917424,3.0
0.9747918,0.0024076367,3.0
0.607782,-0.34588388,3.0
1.0850822,-1.5683931,3.0
1.3792133,1.0600548,3.0
-0.28664032,1.6122457,3.0
1.9598627,-1.8287492,3.0
0.7114011,1.3607951,3.0
0.591118,0.5810338,3.0
-2.9348538,-0.011254864,3.0
-0.6699152,-0.5399203,3.0
-1.2701904,-1.7569357,3.0
-1.2848866,-0.24479762,3.0
0.4115996,-0.9534497,3.0
-1.2485602,0.987255,3.0
0.61391467,-0.8804085,3.0
-0.008171753,0.016869359,3.0
